Question,Answer
W jakiej roli wystąpił Tom Cruise w filmie pt. „Top Gun” ?,
Do kogo Jan Sobieski pisał pełne miłosnych wyznań listy ?,
Jak nazywa się przenośny namiot Mongołów ?,
Który z piłkarzy na mistrzostwach świata w Meksyku w 1986 roku zdobył gola dzięki „ręce boskiej” ?,
Skąd wywodzi się joga ?,
Jakim elementem architektonicznym jest gargulec ?,
Koło jakiego miasta znajduje się znany z fabryk mebli – Swarzędz ?,
Kto 1 lipca 1997 roku przekazał Chinom władzę nad Hongkongiem ?,
"Jakie imię otrzymała fregata rakietowa USS „Clark”, podarowana Polsce przez Stany Zjednoczone ?",
Kiedy obchodzony jest Dzień Matki ?,
Kim dla Juliusza Kossaka była Zofia Kossak-Szczucka ?,
"Z jakiego kraju pochodził zespół Omega, znany m.in. z przeboju pt. „Dziewczyna o perłowych włosach” ?",
Czym jest „Zefirek” zaprojektowany przez Biuro Konstrukcyjne Zakładów Radiowych „Eltra”?,
Jaką kolonię uważano za „klejnot w koronie” brytyjskiego imperium ?,
Co ile lat odbywa się Międzynarodowy Konkurs Pianistyczny im. Fryderyka Chopina ?,
W którym roku po raz pierwszy odbył się Międzynarodowy Konkurs Pianistyczny im. Fryderyka Chopina?,
Jaki kolor ma likier aromatyzowany orzechem kokosowym ?,
Do kogo Reinhold Messner przesłał depeszę tej treści: „Nie jesteś drugi – jesteś wielki” ?,
Które miejsce zajęli Polacy w piłce nożnej na olimpiadzie w Barcelonie w 1992 roku ?,
Pod jakim pseudonimem pisał Aleksander Głowacki ?,
Kiedy zginęli w Sarajewie z rąk zamachowca arcyksiążę Franciszek Ferdynand i jego żona ?,
Jakiej narodowości był słynny pilot „czerwony baron” ?,
Na jakiej wysokości zawieszona jest obręcz kosza w koszykówce ?,
"Na jakim instrumencie gra Adam Makowicz, instrumentalista i kompozytor jazzowy ?",
Kogo Merkator umieścił na okładce sporządzonego przez siebie pierwszego zbioru map ? ,
Jaka liczba odpowiada rzymskiemu zapisowi LX ?,
Jakie terytorium weszło w posiadanie Wielkiej Brytanii na mocy układu nankińskiego z 1842 roku ?,
Który z budynków Nowego Jorku przyozdobiony jest gargulcami w kształcie orlich głów ?,
Od jakiej głębokości zaczyna się abisal ?,
"Na jakim szczycie Kordian, tytułowy bohater dramatu Juliusza Słowackiego, wygłasza swój monolog ?",
Jakiego typu stawem jest staw biodrowy ?,
W jakim wieku zmarł czesław niemen?,
W jakim mieście toczy się akcja opowiadania Andrzeja Sapkowskiego pt. „W leju po bombie” ?,
Gdzie znajduje się Muzeum im. Przypkowskich i wspaniała kolekcja zegarów słonecznych ?,
Czyim patronem jest św. Hubert ?,
Ile waży kobieca kula używana w konkurencji pchnięcia kulą ?,
Czego domagał się Charon za przewiezienie przez Styks?,
Komu ludzie zawdzięczali posiadanie ognia?,
Ile razy Styks okrążał królestwo podziemi?,
"Jak nazywał się piękny myśliwy, w którym zakochała się Afrodyta?",
Jak długo trwały Panatenaje?,
"Kogo nazywano ""dobrym pasterzem"" w Arkadii?",
Na której z wysp leżą dwa państwa ?,
Skąd pochodził Spartakus ?,
W którym roku utworzono Polskie Koleje Państwowe ?,
Jaki straszliwy przedmiot zamówili Cyklopi chcący zemścić się na Herze?,
W którym wieku wielka epidemia dżumy zebrała żniwo trzydziestu procent ludności Europy ?,
Na terenie jakiego państwa znajduje się jezioro Bałchasz ?,
W której bitwie zginął hetman Stanisław Żółkiewski ?,
Jak nazywał się ukochany Madame Butterfly ?,
"Który z bogów Egiptu został zabity przez Seta, rozerwany na kawałki i rozrzucony po świecie ?",
Po jakiej bitwie ustanowiony został Order Virtuti Militari ?,
Gdzie skończyła szkołę filmową Agnieszka Holland ?,
Który z instrumentów dętych posiada suwak ?,
Jaki kształt liści ma miłorząb ?,
Którego z królów Polski prawdopodobnie obłąkany Michał Piekarski ranił czekanem w głowę ?,
W jakim kraju znajdują się góry Kaledońskie ?,
Gdzie w 1999 roku odbył się Przystanek Woodstock ?,
Jak miał na nazwisko tytułowy bohater noweli Henryka Sienkiewicza pt. „Latarnik” ?,
Ile lat nie było Tadeusza w domu?,
Który z bohaterów Pana Tadeusza grał na rogu myśliwskim?,
Ile zapłacił Wokulski za kamienicę Łęckich?,
Jak nazywała się żona Stanisława Wokulskiego?,
Z ilu rozdziałów składa się „Lalka”?,
Na czyje zaproszenie przyjeżdża Wokulski do Zasławka?,
"W jakim państwie wybuchła w 1833 roku wojna domowa, zwana pierwszą wojną karlistowską ?",
"ilu braci miał Robinson Crusoe, główny bohater powieści Daniela Defoe ?",
Z kim 30 listopada 1988 roku Lech Wałęsa przeprowadził debatę telewizyjną ?,
Ile mililitrów krwi przepływa przez nerki dorosłego człowieka w ciągu minuty ?,
W którym roku niemiecki majster piekarniczy Karol Wedel założył w Warszawie fabrykę słodyczy ?,
Jakie barwy powstaną z połąćzenia barw czerwonej i żółtej?,
Jaki kształt ma reprezentacyjny gabinet prezydenta w Białym Domu ?,
Jakie nakrycie głowy stosuje zawodnik dyscypliny ujeżdżenia ?,
Ilu korcom odpowiadał łaszt gdański ?,
W którym roku powstała „ Solidarność”?,
Ile dni wynosi różnica pomiędzy kalendarzem juliańskim a gregoriańskim?,
Jak długo Polska znajdowała się pod zaborami?,
W jakim stylu jest zbudowany kościół mariacki?,
Jaką dzielnicę otrzymywał najstarszy syn za sprawą testamentu Bolesława Krzywoustego?,
Jaki system społeczno-gospodarczy panował w średniowiecznej Europie?,
Jaka jest największa liczba trzycyfrowa?,
Jaka jest najmniejsza wspólna wielokrotność liczby 2 i 3?,
Kiedy rozpoczęła się pierwsza wojna punicka?,
Ile tez przybił na drzwiach kościoła w Wittenberdze Marcin Luter w1517 roku?,
Gdzie urodził się Jerzy Fryderyk Haendel?,
"W jakim stylu namalowany jest obraz ""Krzyk"" Edvarda Muncha?",
W którym roku pojawił się fowizm?,
Na jakiej sztuce wzorował się klasycyzm?,
Jakiego koloru nie używali impresjoniści?,
O której godzinie nastąpił atak na Westerplatte?,
Którego dnia bóg stworzył zwierzęta?,
Jaki post obowiązuje w piątek?,
Kiedy został ustanowiony Najświętszy sakrament?,
Z ilu części składa się koncert barokowy?,
Jakie nakrycie tradycyjnie zdobi głowy adwokatów angielskich?,
Z którego państwa pochodziła projektantka mody Coco Channel,
Jaki kolor miała ciżemka w tytule historycznej powieści dla młodzieży?,
Które miasto jest ośrodkiem administracyjnym obwodu leningradzkiego w Rosji?,
Jak z języka niemieckiego nazywa się gumowy wąż do podlewania?,
W którym kolorze są habity kapucynów,
Z czego produkowana jest kasza krakowska?,
Jak nazywa się miejscowość niedaleko Gniezna gdzie odkryto pozostałości osady z epoki żelaza?,
Jak z greki nazywamy ściankę wieńczącą front budynku?,
Jakim powstaniem dowodził Romuald Traugutt?,
Jaki zapach ma gaz szlachetny hel?,
Z którego owocu sok używany jest przy dekoracji kawalerów uśmiechu?,
Jak nazywał się kosmyk włosów na czubku ogolonej głowy u Kozaków?,
Co Frodo za młodu zwykł wykradać Maggotowi?,
Do jakiego stroju nie pasuje kwiatek?,
"W którym roku miały miejsce tzw wydarzenia marcowe, obejmujące prostesty studenckie?",
Do czego strzela się z broni śrutowej podczas konkurencji zwanej skeet?,
Którego dnia tygodnia przeżywamy wigilię paschalną?,
Jak nazywa się słomiane pokrycie dachu?,
Którą część garderoby się wzuwa lub zzuwa,
Jak nazywa sie wieża przy meczecie z której muezin wzywa do modlitwy?,
W którym roku rozpoczęła się wyprawa Napoleona przeciw Rosji?,
Co rzuca się pod nogi osobie której chcemy cos utrudnić?,
W którym stuleciu kobiety w Polsce uzyskały prawo głosowania?,
W jakich latach obradował Sejm Wielki?,
Który wiek nazywa się Złotym Wiekiem Polskiej Kultury?,
O której godzinie zmarł papież Jan Paweł II?,
W jaki dzień tygodnia Skawiński opuszczał wyspę?,
Od którego roku w Wielkiej Brytanii rządzi królowa Elżbieta II?,
Z czego powinien być przygotowany oryginalny sznycel wiedeński?,
W którym roku miał miejsce zamach terrorystyczny na World Trade Center i Pentagon ?,
Co zbudował James Watt w 1783 roku?,
Kiedy wybuchła rewolucja francuska?,
Kiedy odbyły się pierwsze igrzyska olimpijskie w Grecji?,
W którym roku nastąpił upadek hellenistycznego Egiptu?,
W jakich latach trwała wojna secesyjna?,
Kiedy zakończyła się budowa kanału sueskiego?,
W którym roku zamordowano Johna Lennona?,
Od kogo wyszedł pomysł reaktywacji polskich mundurków?,
W jakich latach miało miejsce powstanie styczniowe?,
Jaka jest w przybliżeniu odległość Księżyca od Ziemi?,
Jaki jest najmniejszy instrument smyczkowy?,
Czym toczy się fortuna?,
Jaką długość w metrach miał staropolski łokieć?,
Gdzie umarła siostra Antka z noweli Bolesława Prusa?,
W którym roku wybuchła I wojna światowa?,
W którym roku powstało państwo Izrael?,
Jaki wynalazek zapoczątkował industrializację?,
Jak nazywa się najmniejsza średnica przewodu lufy broni palnej?,
W czym osadzamy świecę?,
Czego boi się pediofob?,
Na czyją cześć odbywają się Brumalia?,
W którym roku Ted Bundy po raz pierwszy porwał kobietę?,
W którym roku w Rosji wybuchła rewolucja październikowa?,
Kiedy podpisany został traktat lizboński?,
Gdzie podpisano traktat lizboński?,
W którym roku Czesław Miłosz dostał nagrodę Nobla?,
Kiedy rozpoczął się Wielki Kryzys w Stanach Zjednoczonych?,
Od której godziny obowiązuje cisza nocna?,
Jaki dzień tygodnia należy święcić?,
W którym roku Ludwik Pasteur odkrył penicylinę?,
Kiedy wprowadzono w Polsce obowiązkowe szczepienie przeciwko wzw b?,
Kiedy odbyło się oficjalne otwarcie Empire State Building?,
W którym roku urodził się Henryk Sienkiewicz?,
Kiedy odbył się ślub królowej Elżbiety ii i księcia Filipa?,
Kiedy wykryto pierwszy przypadek koronawirusa w Polsce?,
