,question,keywords,stopwords_lemma,stopwords,functional,functional_lemma,pairsAN,pairsNA,quotations,capitalLetters
10,"Festiwal filmowy Dwa Brzegi odbywa się jednocześnie w dwóch miejscowościach na dwóch brzegach Wisły. Jedna z nich to Janowiec, a druga?","(Wisły, Janowiec)",festiwal filmowy brzeg odbywać jednocześnie dwa miejscowość dwa brzeg Wisła Janowiec drugi,Festiwal filmowy Brzegi odbywa jednocześnie dwóch miejscowościach dwóch brzegach Wisły Janowiec druga,Festiwal filmowy Brzegi odbywa jednocześnie miejscowościach brzegach Wisły Jedna Janowiec druga,festiwal filmowy brzeg odbywać jednocześnie miejscowość brzeg Wisła jeden Janowiec drugi,[],['Festiwal filmowy'],[],"['Dwa Brzegi', 'Dwa Brzegi Wisły Janowiec,']"
11,"Tadeusz Andrzej Bonawentura, walczył o niepodległość USA. Jak brzmi jego nazwisko?","(Tadeusz Andrzej Bonawentura, USA)",Tadeusz Andrzej Bonawentura walczyć niepodległość USA brzmieć nazwisko,Tadeusz Andrzej Bonawentura walczył niepodległość USA brzmi nazwisko,Tadeusz Andrzej Bonawentura walczył niepodległość USA Jak brzmi nazwisko,Tadeusz Andrzej Bonawentura walczyć niepodległość USA jak brzmieć nazwisko,[],[],[],"['Andrzej Bonawentura,']"
12,Zobaczyć... i umrzeć – o które miasto chodzi?,(),zobaczyć umrzeć miasto chodzić,Zobaczyć umrzeć miasto chodzi,Zobaczyć umrzeć miasto chodzi,zobaczyć umrzeć miasto chodzić,[],[],[],[]
13,Które miasto było stolicą zakonu krzyżackiego?,"(zakonu krzyżackiego,)",miasto stolica zakon krzyżacki,miasto stolicą zakonu krzyżackiego,miasto stolicą zakonu krzyżackiego,miasto stolica zakon krzyżacki,[],['zakonu krzyżackiego'],[],[]
14,Gdzie połączone jednostki polskie z Rosji i Austro-Węgier starły się w 1918 roku z Niemcami?,"(polskie, Rosji, 1918 roku, Niemcami)",połączyć jednostka polski Rosja Austro Węgry starzyć 1918 Niemcy,połączone jednostki polskie Rosji Austro Węgier starły 1918 Niemcami,Gdzie połączone jednostki polskie Rosji Austro Węgier starły 1918 roku Niemcami,gdzie połączyć jednostka polski Rosja Austro Węgry starzyć 1918 rok Niemcy,"['połączone jednostki', '1918 roku']",['jednostki polskie'],[],"['Rosji', 'Rosji Austro-Węgier']"
15,"Jak nazywa się wzgórze w Paryżu, na którym zbudowano Bazylikę Sacré-Cœur?","(Paryżu, Bazylikę Sacré-Cœur)",nazywać wzgórze Paryż zbudować Bazylika Sacré- Cœur,nazywa wzgórze Paryżu zbudowano Bazylikę Sacré- Cœur,Jak nazywa wzgórze Paryżu zbudowano Bazylikę Sacré- Cœur,jak nazywać wzgórze Paryż zbudować Bazylika Sacré- Cœur,[],[],[],"['Paryżu,']"
16,"Kto prowadził teleturniej ""Kocham Cię Polsko""?","(Polsko,)",prowadzić teleturniej kochać Polska,prowadził teleturniej Kocham Polsko,prowadził teleturniej Kocham Polsko,prowadzić teleturniej kochać Polska,[],[],['Kocham Cię Polsko'],[]
17,"Który z ""Trzech Muszkieterów"" Alexandra Dumas'a miał w młodości zostać księdzem?","(Alexandra Dumas'a,)",trzy Muszkieter Alexander Dumas mieć młodość zostać ksiądz,Trzech Muszkieterów Alexandra Dumas'a miał młodości zostać księdzem,Muszkieterów Alexandra Dumas'a miał młodości zostać księdzem,Muszkieter Alexander Dumas mieć młodość zostać ksiądz,[],[],['Trzech Muszkieterów'],"['Muszkieterów"" Alexandra Dumas\'a']"
18,Jak nazywał się ojciec Pinokia?,"(Pinokia,)",nazywać ojciec Pinokia,nazywał ojciec Pinokia,Jak nazywał ojciec Pinokia,jak nazywać ojciec Pinokia,[],[],[],[]
19,W którym mieście Polska podpisała pokój z Krzyżakami w lutym 1411 roku?,"(Polska, Krzyżakami, lutym 1411 roku)",miasto Polska podpisać pokój krzyżak luty 1411,mieście Polska podpisała pokój Krzyżakami lutym 1411,mieście Polska podpisała pokój Krzyżakami lutym 1411 roku,miasto Polska podpisać pokój krzyżak luty 1411 rok,['1411 roku'],['lutym 1411'],[],"['Polska', 'Polska Krzyżakami']"
20,Skąd pochodzi forma poetycka Haiku?,(),pochodzić forma poetycki Haik,pochodzi forma poetycka Haiku,Skąd pochodzi forma poetycka Haiku,skąd pochodzić forma poetycki Haik,[],['forma poetycka'],[],[]
21,"Przy której bajkowej ulicy mieszkają Elmo, Grover, Ciasteczkowy Potwór?","(Elmo, Grover, Ciasteczkowy Potwór)",bajkowy ulica mieszkać Elmo Grover ciasteczkowy Potwór,bajkowej ulicy mieszkają Elmo Grover Ciasteczkowy Potwór,bajkowej ulicy mieszkają Elmo Grover Ciasteczkowy Potwór,bajkowy ulica mieszkać Elmo Grover ciasteczkowy Potwór,['bajkowej ulicy'],[],[],[]
22,Które miasto Ukrainy znane jest ze słynnych Schodów Potiomkinowskich?,"(Ukrainy, Schodów Potiomkinowskich)",miasto Ukraina znany słynny schody potiomkinowski,miasto Ukrainy znane słynnych Schodów Potiomkinowskich,miasto Ukrainy znane słynnych Schodów Potiomkinowskich,miasto Ukraina znany słynny schody potiomkinowski,['słynnych Schodów'],['Schodów Potiomkinowskich'],[],['Ukrainy']
23,Jaką funkcję w Rzeszy Niemieckiej pełnił Otto von Bismarck?,"(Rzeszy Niemieckiej, Otto von Bismarck)",jaki funkcja Rzesza niemiecki pełnić Otto von Bismarck,Jaką funkcję Rzeszy Niemieckiej pełnił Otto von Bismarck,funkcję Rzeszy Niemieckiej pełnił Otto Bismarck,funkcja Rzesza niemiecki pełnić Otto Bismarck,[],[],[],"['Rzeszy Niemieckiej', 'Rzeszy Niemieckiej Otto']"
24,O której legendarnej wyspie opowiada Platon w swoich dziełach Timajos i Critas?,"(Platon, Timajos, Critas)",legendarny wyspa opowiadać Platon swój dzieło Timajos Critas,legendarnej wyspie opowiada Platon swoich dziełach Timajos Critas,legendarnej wyspie opowiada Platon dziełach Timajos Critas,legendarny wyspa opowiadać Platon dzieło Timajos Critas,['legendarnej wyspie'],[],[],"['Platon', 'Platon Timajos']"
25,W którym wieku miała miejsce odsiecz oblężonego przez Turków Wiednia?,"(Turków Wiednia,)",wiek mieć miejsce odsiecz oblężony Turek Wiedeń,wieku miała miejsce odsiecz oblężonego Turków Wiednia,wieku miała miejsce odsiecz oblężonego Turków Wiednia,wiek mieć miejsce odsiecz oblężony Turek Wiedeń,[],['odsiecz oblężonego'],[],[]
26,"Jak nazywa się cienki placek z mąki i wody, produkt kuchni żydowskiej nazywany chlebem niedoli?","(żydowskiej,)",nazywać cienki placek mąka woda produkt kuchnia żydowski nazywać chleb niedola,nazywa cienki placek mąki wody produkt kuchni żydowskiej nazywany chlebem niedoli,Jak nazywa cienki placek mąki wody produkt kuchni żydowskiej nazywany chlebem niedoli,jak nazywać cienki placek mąka woda produkt kuchnia żydowski nazywać chleb niedola,"['cienki placek', 'nazywany chlebem']",['kuchni żydowskiej'],[],[]
27,Jak potocznie nazywamy długie nici pajęczyny unoszone przez wiatr wczesną jesienią?,(),potocznie nazywać długi nić pajęczyna unosić wiatr wczesny jesień,potocznie nazywamy długie nici pajęczyny unoszone wiatr wczesną jesienią,Jak potocznie nazywamy długie nici pajęczyny unoszone wiatr wczesną jesienią,jak potocznie nazywać długi nić pajęczyna unosić wiatr wczesny jesień,"['długie nici', 'wczesną jesienią']","['pajęczyny unoszone', 'wiatr wczesną']",[],[]
28,Kto zabił Goliata kamieniem z procy?,"(Goliata,)",zabić Goliat kamień proca,zabił Goliata kamieniem procy,zabił Goliata kamieniem procy,zabić Goliat kamień proca,[],[],[],['Goliata']
29,Jak nazywa się mały szynowy pojazd z ręcznym napędem?,(),nazywać mały szynowy pojazd ręczny napąd,nazywa mały szynowy pojazd ręcznym napędem,Jak nazywa mały szynowy pojazd ręcznym napędem,jak nazywać mały szynowy pojazd ręczny napąd,"['szynowy pojazd', 'ręcznym napędem']",[],[],[]
30,W których górach szumi wodospad Siklawa?,"(Siklawa,)",góra szumić wodospad siklawy,górach szumi wodospad Siklawa,górach szumi wodospad Siklawa,góra szumić wodospad siklawy,[],['wodospad Siklawa'],[],[]
31,Kto skomponował muzykę do opery Król Roger ?,"(Król Roger,)",skomponować muzyka opera król Roger,skomponował muzykę opery Król Roger,skomponował muzykę opery Król Roger,skomponować muzyka opera król Roger,[],[],[],[]
32,W którym państwie przyznawany jest Medal Zasłużony Kulturze Gloria Artis?,(),państwo przyznawać medal zasłużyć kultura Gloria Artis,państwie przyznawany Medal Zasłużony Kulturze Gloria Artis,państwie przyznawany Medal Zasłużony Kulturze Gloria Artis,państwo przyznawać medal zasłużyć kultura Gloria Artis,['Zasłużony Kulturze'],"['państwie przyznawany', 'Medal Zasłużony']",[],[]
33,Czyje imię nosi Teatr Ateneum w Warszawie?,"(Teatr Ateneum w Warszawie,)",czyjś imię nosić teatr Ateneum Warszawa,Czyje imię nosi Teatr Ateneum Warszawie,imię nosi Teatr Ateneum Warszawie,imię nosić teatr Ateneum Warszawa,[],[],[],['Teatr Ateneum']
34,Który król powołał Komisję Morską czyli pierwszy Polski urząd do spraw żeglugi w XVI w.?,"(Komisję Morską, Polski, XVI w.)",król powołać komisja morski pierwszy Polska urząd sprawa żeglug XVI,król powołał Komisję Morską pierwszy Polski urząd spraw żeglugi XVI,król powołał Komisję Morską pierwszy Polski urząd spraw żeglugi XVI,król powołać komisja morski pierwszy Polska urząd sprawa żeglug XVI,[],['Komisję Morską'],[],"['Komisję Morską', 'Komisję Morską Polski', 'Komisję Morską Polski XVI']"
35,Kto jest reżyserem filmu Bliskie spotkania trzeciego stopnia ?,(),reżyser film Bliski spotkanie trzeci stopień,reżyserem filmu Bliskie spotkania trzeciego stopnia,reżyserem filmu Bliskie spotkania trzeciego stopnia,reżyser film Bliski spotkanie trzeci stopień,"['Bliskie spotkania', 'trzeciego stopnia']","['filmu Bliskie', 'spotkania trzeciego']",[],['Bliskie']
36,Który kontynent zamieszkuje niedźwiedź baribal?,(),kontynent zamieszkiwać niedźwiedź baribal,kontynent zamieszkuje niedźwiedź baribal,kontynent zamieszkuje niedźwiedź baribal,kontynent zamieszkiwać niedźwiedź baribal,[],[],[],[]
37,Ile par odnóży mają raki?,(),para odnóż rak,par odnóży raki,par odnóży mają raki,para odnóż mieć rak,[],[],[],[]
38,Która duża europejska wyspa jest nazywana szmaragdową albo zieloną?,"(europejska,)",duży europejski wyspa nazywać szmaragdowy zielony,duża europejska wyspa nazywana szmaragdową zieloną,duża europejska wyspa nazywana szmaragdową zieloną,duży europejski wyspa nazywać szmaragdowy zielony,['europejska wyspa'],[],[],[]
39,Gdzie urodził się Mikołaj Kopernik?,"(Mikołaj Kopernik,)",urodzić Mikołaj Kopernik,urodził Mikołaj Kopernik,Gdzie urodził Mikołaj Kopernik,gdzie urodzić Mikołaj Kopernik,[],[],[],[]
40,W którym roku rozpoczęła się II wojna światowa?,(),rozpocząć II wojna światowy,rozpoczęła II wojna światowa,roku rozpoczęła II wojna światowa,rok rozpocząć II wojna światowy,['II wojna'],['wojna światowa'],[],['II']
41,Które państwo uchodzi za kolebkę szachów?,(),państwo uchodzić kolebka szach,państwo uchodzi kolebkę szachów,państwo uchodzi kolebkę szachów,państwo uchodzić kolebka szach,[],[],[],[]
42,Na terenie którego państwa znajduje się Salto Angel - najwyższy wodospad świata?,"(Salto Angel,)",teren państwo znajdować Salto Angel wysoki wodospad świat,terenie państwa znajduje Salto Angel najwyższy wodospad świata,terenie państwa znajduje Salto Angel najwyższy wodospad świata,teren państwo znajdować Salto Angel wysoki wodospad świat,['najwyższy wodospad'],[],[],['Salto Angel']
43,"Jak nazywał się pisarz, który stworzył postać Jamesa Bonda?","(Jamesa Bonda,)",nazywać pisarz stworzyć postać James Bonda,nazywał pisarz stworzył postać Jamesa Bonda,Jak nazywał pisarz stworzył postać Jamesa Bonda,jak nazywać pisarz stworzyć postać James Bonda,[],[],[],[]
44,W którym roku Polska przystąpiła do Unii Europejskiej?,"(Polska, Unii Europejskiej)",Polska przystąpić unia europejski,Polska przystąpiła Unii Europejskiej,roku Polska przystąpiła Unii Europejskiej,rok Polska przystąpić unia europejski,[],['Unii Europejskiej'],[],['Polska']
45,"Jak nazywali się trzej bracia, założyciele Polski, Czech i Rosji?","(Polski, Czech, Rosji)",nazywać trzy brat założyciel Polska Czechy Rosja,nazywali trzej bracia założyciele Polski Czech Rosji,Jak nazywali bracia założyciele Polski Czech Rosji,jak nazywać brat założyciel Polska Czechy Rosja,[],[],[],"['Polski, Czech']"
46,Z jakiego miasta Marco Polo wyruszył w podróż do Chin?,"(Marco Polo, Chin)",jaki miasto Marco polo wyruszyć podróż Chiny,jakiego miasta Marco Polo wyruszył podróż Chin,miasta Marco Polo wyruszył podróż Chin,miasto Marco polo wyruszyć podróż Chiny,[],[],[],['Marco Polo']
47,Co Otto III podarował Bolesławowi Chrobremu?,"(Otto III, Bolesławowi Chrobremu)",Otto III podarować Bolesław Chrobrem,Otto III podarował Bolesławowi Chrobremu,Otto III podarował Bolesławowi Chrobremu,Otto III podarować Bolesław Chrobrem,[],[],[],['Otto III']
48,Jaka polska poetka dostała literacką Nagrodę Nobla?,"(polska, Nobla)",jaki polski poetka dostać literacki nagroda Nobel,Jaka polska poetka dostała literacką Nagrodę Nobla,polska poetka dostała literacką Nagrodę Nobla,polski poetka dostać literacki nagroda Nobel,"['polska poetka', 'literacką Nagrodę']",[],[],[]
49,Gdzie urodził się Fryderyk Chopin?,"(Fryderyk Chopin,)",urodzić Fryderyk Chopin,urodził Fryderyk Chopin,Gdzie urodził Fryderyk Chopin,gdzie urodzić Fryderyk Chopin,[],[],[],[]
50,Który król przeniósł stolicę Polski z Krakowa do Warszawy?,"(Polski, Krakowa, Warszawy)",król przenieść stolica Polska Kraków Warszawa,król przeniósł stolicę Polski Krakowa Warszawy,król przeniósł stolicę Polski Krakowa Warszawy,król przenieść stolica Polska Kraków Warszawa,[],[],[],"['Polski', 'Polski Krakowa']"
51,Jaki Święty umarł w 1226r.?,(),święty umrzeć 1226r,Święty umarł 1226r,Święty umarł 1226r,święty umrzeć 1226r,[],[],[],['Święty']
52,Kiedy ustanowiono w Polsce stan wojenny?,"(Polsce,)",ustanowić Polska stan wojenny,ustanowiono Polsce stan wojenny,Kiedy ustanowiono Polsce stan wojenny,kiedy ustanowić Polska stan wojenny,[],['stan wojenny'],[],['Polsce']
53,W jakim mieście codziennie grany jest hejnał z Wieży Mariackiej?,"(Wieży Mariackiej,)",jaki miasto codziennie grany hejnał wieża mariacki,jakim mieście codziennie grany hejnał Wieży Mariackiej,mieście codziennie grany hejnał Wieży Mariackiej,miasto codziennie grany hejnał wieża mariacki,[],"['mieście codziennie', 'Wieży Mariackiej']",[],[]
54,Na czym latał Alladyn?,"(Alladyn,)",co latać Alladyn,czym latał Alladyn,latał Alladyn,latać Alladyn,[],[],[],[]
55,Jaki magiczny przedmiot był w posiadaniu ojca księżniczki Ariel?,"(Ariel,)",magiczny przedmiot posiadanie ojciec księżniczka Ariel,magiczny przedmiot posiadaniu ojca księżniczki Ariel,magiczny przedmiot posiadaniu ojca księżniczki Ariel,magiczny przedmiot posiadanie ojciec księżniczka Ariel,['magiczny przedmiot'],[],[],[]
56,Ilu krasnoludków miała Królewna Śnieżka?,(),ile krasnoludek mieć Królewna Śnieżka,Ilu krasnoludków miała Królewna Śnieżka,krasnoludków miała Królewna Śnieżka,krasnoludek mieć Królewna Śnieżka,[],[],[],[]
57,Co zgubił Kopciuszek na balu?,"(Kopciuszek,)",zgubić Kopciuszek bal,zgubił Kopciuszek balu,zgubił Kopciuszek balu,zgubić Kopciuszek bal,[],[],[],['Kopciuszek']
58,Jak miał na imię synek rozbójnika Rumcajsa?,"(Rumcajsa,)",mieć imię synek rozbójnik Rumcajs,miał imię synek rozbójnika Rumcajsa,Jak miał imię synek rozbójnika Rumcajsa,jak mieć imię synek rozbójnik Rumcajs,[],[],[],[]
59,W jakiej stolicy znajduje się lotnisko Fryderyka Chopina?,"(Fryderyka Chopina,)",jaki stolica znajdować lotnisko Fryderyka Chopin,jakiej stolicy znajduje lotnisko Fryderyka Chopina,stolicy znajduje lotnisko Fryderyka Chopina,stolica znajdować lotnisko Fryderyka Chopin,[],[],[],[]
60,Jakie miasto nazywamy „wiecznym miastem”?,(),miasto nazywać wieczny miasto,miasto nazywamy wiecznym miastem,miasto nazywamy wiecznym miastem,miasto nazywać wieczny miasto,['wiecznym miastem'],[],[],[]
61,Za pomocą jakiego przyrządu naukowcy obserwują mikroorganizmy?,(),pomoc jaki przyrząd naukowiec obserwować mikroorganizm,pomocą jakiego przyrządu naukowcy obserwują mikroorganizmy,pomocą przyrządu naukowcy obserwują mikroorganizmy,pomoc przyrząd naukowiec obserwować mikroorganizm,[],[],[],[]
62,"W jakiej grze są królowie, wieże i konie?",(),jaki gra król wieża koń,jakiej grze królowie wieże konie,grze są królowie wieże konie,gra być król wieża koń,[],[],[],[]
63,Czyim synem był herakles?,(),czyj syn herakles,Czyim synem herakles,synem herakles,syn herakles,[],[],[],[]
64,Który z polskich królów pisał piękne listy do swej żony?,"(polskich,)",polski król pisać piękny lista swój żona,polskich królów pisał piękne listy swej żony,polskich królów pisał piękne listy żony,polski król pisać piękny lista żona,"['polskich królów', 'piękne listy']",[],[],[]
65,Po ilu latach małżeństwa obchodzi się stalowe gody?,(),ile rok małżeństwo obchodzić stalowy goda,ilu latach małżeństwa obchodzi stalowe gody,latach małżeństwa obchodzi stalowe gody,rok małżeństwo obchodzić stalowy goda,['stalowe gody'],[],[],[]
66,Który dzień jest dniem przesilenia letniego?,(),dzień dzień przesilenie letni,dzień dniem przesilenia letniego,dzień dniem przesilenia letniego,dzień dzień przesilenie letni,[],['przesilenia letniego'],[],[]
67,Za kogo wyszła Telimena?,"(Telimena,)",kto wyjść Telimen,kogo wyszła Telimena,wyszła Telimena,wyjść Telimen,[],[],[],[]
68,Którego bohatera Tanga grał Piotr Adamczyk?,"(Tanga, Piotr Adamczyk)",bohater Tang grać Piotr Adamczyk,bohatera Tanga grał Piotr Adamczyk,bohatera Tanga grał Piotr Adamczyk,bohater Tang grać Piotr Adamczyk,[],[],[],['Tanga']
69,Na jakim świetle przechodzimy na druga stronę jezdni?,(),jaki światło przechodzić drugi strona jezdnia,jakim świetle przechodzimy druga stronę jezdni,świetle przechodzimy druga stronę jezdni,światło przechodzić drugi strona jezdnia,['druga stronę'],[],[],[]
70,Jaki zakazany owoc zjedli Adam i Ewa?,"(Adam, Ewa)",zakazany owoc zjeść Adam Ewa,zakazany owoc zjedli Adam Ewa,zakazany owoc zjedli Adam Ewa,zakazany owoc zjeść Adam Ewa,['zakazany owoc'],[],[],['Adam']
71,Czyją córką była Persefona?,(),czyj córka persefon,Czyją córką Persefona,córką Persefona,córka persefon,[],[],[],[]
72,Czym posypywane są głowy w Środę Popielcową?,(),co posypywać głowa środa popielcowy,Czym posypywane głowy Środę Popielcową,posypywane głowy Środę Popielcową,posypywać głowa środa popielcowy,[],['Środę Popielcową'],[],[]
73,Kiedy obchodzimy Boże Narodzenie?,"(Boże,)",obchodzić boży narodzenie,obchodzimy Boże Narodzenie,Kiedy obchodzimy Boże Narodzenie,kiedy obchodzić boży narodzenie,['Boże Narodzenie'],[],[],[]
74,Komu Matka Boska objawiła się w Guadelupe?,"(Matka Boska, Guadelupe)",kto matka Bosek objawić Guadelupe,Komu Matka Boska objawiła Guadelupe,Matka Boska objawiła Guadelupe,matka Bosek objawić Guadelupe,[],[],[],['Matka Boska']
75,kogo uratował Jacek Soplica?,"(Jacek Soplica,)",kto uratować Jacek Soplica,kogo uratował Jacek Soplica,uratował Jacek Soplica,uratować Jacek Soplica,[],[],[],[]
76,Jaka jest dokładna data bitwy pod Grunwaldem?,"(Grunwaldem,)",jaki dokładny data bitwa Grunwald,Jaka dokładna data bitwy Grunwaldem,dokładna data bitwy Grunwaldem,dokładny data bitwa Grunwald,['dokładna data'],[],[],[]
77,Kto jest najwyższym zwierzchnikiem Sił Zbrojnych Rzeczypospolitej Polskiej?,"(Sił Zbrojnych Rzeczypospolitej,)",wysoki zwierzchnik siła Zbrojny Rzeczpospolita polski,najwyższym zwierzchnikiem Sił Zbrojnych Rzeczypospolitej Polskiej,najwyższym zwierzchnikiem Sił Zbrojnych Rzeczypospolitej Polskiej,wysoki zwierzchnik siła Zbrojny Rzeczpospolita polski,['najwyższym zwierzchnikiem'],['Sił Zbrojnych'],[],[]
78,który apostoł stał się przysłowiowym sceptykiem?,(),apostoł stać przysłowiowy sceptyk,apostoł stał przysłowiowym sceptykiem,apostoł stał przysłowiowym sceptykiem,apostoł stać przysłowiowy sceptyk,['przysłowiowym sceptykiem'],[],[],[]
79,Z jakiego kraju pochodziła św.Kinga?,"(św., Kinga)",jaki kraj pochodzić święty Kinga,jakiego kraju pochodziła św Kinga,kraju pochodziła Kinga,kraj pochodzić Kinga,[],[],[],[]
80,"Co, według Biblii, było białe jak ziarno kolendra i miało smak placka z miodem ?",(),Biblia biały ziarno kolender mieć smak placka miód,Biblii białe ziarno kolendra miało smak placka miodem,Biblii białe ziarno kolendra miało smak placka miodem,Biblia biały ziarno kolender mieć smak placka miód,[],[],[],"['Biblii,']"
81,Jakiego koloru owoce ma jarzębina ?,(),jaki kolor owoc jarzębina,Jakiego koloru owoce jarzębina,koloru owoce ma jarzębina,kolor owoc mieć jarzębina,[],[],[],[]
82,Przez jaki kontynent wędrują Staś i Nel w powieści Henryka Sienkiewicza pt. „W pustyni i w puszczy” ?,"(Staś, Nel, Henryka Sienkiewicza)",kontynent wędrować Staś Nel powieść Henryk Sienkiewicz pod tytułem pustynia puszcza,kontynent wędrują Staś Nel powieści Henryka Sienkiewicza pt pustyni puszczy,kontynent wędrują Staś Nel powieści Henryka Sienkiewicza pustyni puszczy,kontynent wędrować Staś Nel powieść Henryk Sienkiewicz pustynia puszcza,[],[],[],"['Staś', 'Staś Nel', 'Staś Nel Henryka Sienkiewicza']"
83,Na jakie miasto spadła pierwsza bomba atomowa ?,(),miasto spaść pierwszy bomba atomowy,miasto spadła pierwsza bomba atomowa,miasto spadła pierwsza bomba atomowa,miasto spaść pierwszy bomba atomowy,['pierwsza bomba'],['bomba atomowa'],[],[]
84,Jakie urządzenie potocznie nazywamy „korkiem” ?,(),urządzenie potocznie nazywać korek,urządzenie potocznie nazywamy korkiem,urządzenie potocznie nazywamy korkiem,urządzenie potocznie nazywać korek,[],['urządzenie potocznie'],[],[]
85,Co chroni palec przy szyciu ręcznym przed ukłuciami igły ?,(),chronić palec szycie ręczny ukłucie igła,chroni palec szyciu ręcznym ukłuciami igły,chroni palec szyciu ręcznym ukłuciami igły,chronić palec szycie ręczny ukłucie igła,[],['szyciu ręcznym'],[],[]
86,Co służy do kreślenia tuszem linii na powiece lub wokół oka ?,(),służyć kreślenie tusz linia powiec wokół oko,służy kreślenia tuszem linii powiece wokół oka,służy kreślenia tuszem linii powiece oka,służyć kreślenie tusz linia powiec oko,[],[],[],[]
87,"Jak nazywa się sucha, twarda kiełbasa z nalotem z pleśni ?",(),nazywać suchy twardy kiełbasa nalot pleśń,nazywa sucha twarda kiełbasa nalotem pleśni,Jak nazywa sucha twarda kiełbasa nalotem pleśni,jak nazywać suchy twardy kiełbasa nalot pleśń,['twarda kiełbasa'],[],[],[]
88,Gdzie przesiadywał leń z wiersza Jana Brzechwy ?,"(Jana Brzechwy,)",przesiadywać leń wiersz Jan Brzechwa,przesiadywał leń wiersza Jana Brzechwy,Gdzie przesiadywał leń wiersza Jana Brzechwy,gdzie przesiadywać leń wiersz Jan Brzechwa,[],[],[],[]
89,Jaką bronią posługuje się Eros ?,"(Eros,)",jaki bronić posługiwać Eros,Jaką bronią posługuje Eros,bronią posługuje Eros,bronić posługiwać Eros,[],[],[],[]
90,Do jakiego miasta usilnie próbował dojść Koziołek Matołek ?,"(Koziołek Matołek,)",jaki miasto usilnie próbować dojść Koziołek Matołek,jakiego miasta usilnie próbował dojść Koziołek Matołek,miasta usilnie próbował dojść Koziołek Matołek,miasto usilnie próbować dojść Koziołek Matołek,[],['miasta usilnie'],[],[]
